epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,2944.64,1.02512,0.46498,1.04126,0.98574,0.94477,0.9714,0.68749,1.06286,0.41403,1.05792,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3011.87,1.03438,0.46676,1.04041,0.97977,0.9488,0.97012,0.68478,1.06498,0.40899,1.05105,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3078.66,1.02971,0.46351,1.04435,0.98015,0.9467,0.9692,0.68875,1.05129,0.41253,1.05216,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3145.49,1.01868,0.45704,1.04279,0.97975,0.94776,0.97083,0.68713,1.06332,0.40849,1.0539,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3215.3,1.01817,0.46261,1.04406,0.98712,0.94248,0.96763,0.68579,1.05493,0.41388,1.05635,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3285.54,1.02619,0.46085,1.04552,0.98906,0.94077,0.96916,0.6847,1.06559,0.4101,1.05443,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3356.42,1.01241,0.45444,1.03524,0.98528,0.94579,0.97014,0.68722,1.05814,0.4026,1.04528,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3422.81,1.01624,0.44984,1.0398,0.98009,0.9508,0.97087,0.68729,1.05849,0.39673,1.04491,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3489.52,1.01334,0.44769,1.03657,0.97975,0.94761,0.96913,0.68645,1.0562,0.40339,1.0497,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3556.05,1.00838,0.45178,1.03918,0.98238,0.94897,0.96909,0.69007,1.04492,0.39677,1.04597,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3625.92,1.0061,0.44551,1.03471,0.98746,0.94579,0.9634,0.68626,1.05479,0.39969,1.05435,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3693.7,1.0013,0.43662,1.03417,0.98254,0.94869,0.97125,0.68838,1.05567,0.39391,1.04607,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3760.6,0.99733,0.43822,1.02839,0.98672,0.94579,0.97054,0.68642,1.06352,0.39506,1.04638,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3827.92,1.00553,0.4408,1.03162,0.98525,0.94306,0.96929,0.6897,1.05833,0.39434,1.04835,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3895.2,0.99848,0.43477,1.03328,0.98159,0.94726,0.96994,0.69329,1.04959,0.38926,1.04501,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3976.38,0.98795,0.43527,1.02436,0.98528,0.94518,0.97185,0.69077,1.05115,0.39096,1.0442,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4044.42,0.98549,0.42931,1.02279,0.98855,0.94428,0.97148,0.69072,1.05136,0.38973,1.04229,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4116.73,0.97899,0.42871,1.01809,0.97918,0.95399,0.9713,0.69266,1.04519,0.38519,1.04318,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4184.58,0.98109,0.42879,1.02591,0.98577,0.9467,0.97158,0.69238,1.04753,0.38136,1.0424,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4251.32,0.97708,0.4249,1.01804,0.98189,0.94943,0.97087,0.69102,1.0563,0.38777,1.04018,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4318.64,0.97754,0.42514,1.01744,0.98213,0.95134,0.97103,0.69104,1.05046,0.38146,1.03896,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4386.69,0.97235,0.4199,1.01909,0.98616,0.94852,0.97235,0.69034,1.04799,0.37995,1.04261,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4455.27,0.97039,0.4166,1.01782,0.98473,0.95034,0.97049,0.68999,1.04968,0.38627,1.04292,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4523.17,0.95884,0.41543,1.0161,0.98202,0.94529,0.96939,0.69147,1.05066,0.38013,1.04437,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4591.16,0.96197,0.41522,1.01191,0.98076,0.95239,0.97167,0.69322,1.04928,0.37875,1.0395,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4659.46,0.9669,0.41748,1.02173,0.98305,0.94806,0.97079,0.68969,1.05157,0.38061,1.04501,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4727.19,0.95626,0.40986,1.00986,0.9815,0.94989,0.97153,0.69025,1.05222,0.37727,1.04339,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4797.86,0.94976,0.41038,1.01178,0.98716,0.9458,0.97053,0.6882,1.04934,0.37751,1.04602,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4867.21,0.94222,0.4029,1.00818,0.98257,0.95008,0.96985,0.6884,1.05129,0.37699,1.04432,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4935.65,0.95017,0.40527,1.00891,0.98164,0.95015,0.97139,0.68931,1.05299,0.37667,1.04607,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5009.72,0.93925,0.40046,1.00639,0.98332,0.94989,0.97053,0.69004,1.05107,0.37586,1.04694,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5078.8,0.94038,0.40081,1.00666,0.98924,0.94852,0.97145,0.69203,1.05024,0.37636,1.04594,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5148.99,0.94293,0.40082,1.00827,0.98304,0.95088,0.9699,0.69147,1.05017,0.37424,1.0478,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5216.84,0.93709,0.39882,1.0052,0.98404,0.9467,0.97059,0.68995,1.05045,0.3746,1.04792,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5285.61,0.93667,0.39552,1.00674,0.98748,0.94624,0.97058,0.6918,1.04909,0.37223,1.04305,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
